,sum of top 6,educated,addicted,armed,athletic,fighter,disguised,musical,animal,artistic,drunk
mythic-peggy,5.742423837,0.8248882639,1,0.8957905272,0.9455358057,0.7700913495,0.9553653216,0.9457321825,0.6969986684,1,0.8091511319
mythic-bob,5.734626375,0.9815006586,0.7579859289,0.7385028651,1,0.8195969864,1,1,0.7380115225,0.9074803914,0.8456453254
mythic-dr-zoidberg,5.533270311,0.9681664427,0.8949063294,0.8010259849,0.9444663359,1,0.7191884508,0.7895020593,0.7973322103,0.924705218,0.5794409318
mythic-hayley,5.279985617,1,0.5092032064,0.8034437753,0.7593760386,0.9287412712,0.7106220499,0.6705672258,0.6919424274,0.7884245319,1
mythic-leela,5.279893983,0.7576077322,0.6437338491,0.7271600578,0.9217428609,0.8903674328,0.790595824,0.8194942582,0.7243715478,0.966166379,0.8915272278
mythic-quagmire,5.148887289,0.8277416285,0.7218218295,0.8345807528,0.7362991202,0.7822146323,0.7226492404,0.7716820173,1,0.5530450586,0.9326682577
mythic-louise,5.12951779,0.9050276645,0.7489806449,0.7593149331,0.807368454,0.8349725345,0.7273034172,0.7982767881,0.8227570419,0.7611199647,0.9611153075
mythic-stewie,5.083922971,0.8143425566,0.6788976455,0.7943441484,0.9125044627,0.8384172823,0.8350901397,0.7907461646,0.7101573567,0.6601088889,0.8892243817
mythic-stan,5.076914249,0.9216559792,0.7670520224,0.8350799944,0.7068081103,0.7212882105,0.5579199441,0.8435766953,0.7740617547,0.8233325438,0.8792072817
mythic-bullock,5.056812934,0.7923426509,0.6501236829,0.834137364,0.9085557566,0.8111625475,0.8468889623,0.6994615596,0,0.7361408312,0.8637256525
mythic-boomhauer,5.048866873,0.8855201411,0.6890537521,0.8162863469,0.7687042108,0,0.789615085,0.5490318534,0.9185489034,0.7538072253,0.8701921855
mythic-professor-farnsworth,4.912218156,0.5985678021,0.5572818335,0.9358366361,0.9484315059,0.872303427,0.7780249799,0,0.7790538046,0.4924019799,0.5264857345
mythic-teddy,4.775276081,0,0.8014136195,1,0.5991875594,0.7077754272,0.6711340488,0.8410568201,0.6322013219,0,0.7538961657
mythic-brian,4.719880226,0.4218637406,0,0.6634974302,0.8009414321,0.4893855054,0.7494808774,0.5955553229,0.8329850221,0.8979469955,0.7750284685
hank-hill,4.589380289,0.7002572023,0.7791187581,0.7273249843,0.7052791835,0.5382044621,0.6317653345,0.7819720537,0.6092955448,0.8560078512,0.7396774585
bill-dauterive,4.327878014,0.8397638613,0,0.6053652155,0.7913379197,0.5706340466,0.6219526656,0.7847454095,0.619606594,0.3657383735,0.6704715637
philip-j-fry,4.301024672,0.6810478904,0,0.5911761261,0.8510128067,0.7036815426,0.6570315808,0.6879355235,0.6028783896,0.6573800606,0.7199668483
tina,4.261355369,0.6230277515,0,0.6204331124,0.7130786696,0.6918223359,0.5706389963,0.795042616,0.4879782713,0.7715027255,0.6668812706
eugene-belcher,4.242953624,0.6818696648,0.5710068359,0.5944672021,0.7894884406,0,0.5981169013,0.7274958493,0.6232357337,0.6941557031,0.726708233
bender,4.134483495,0.650959046,0.4690233002,0.8131511816,0.6857796061,0.53449182,0.4914450863,0.5418074605,0.6104830059,0.6535984094,0.7205122461
peter,4.07383449,0.5776232629,0.4271402578,0.737283573,0.611243276,0.6776780512,0.49596011,0.6185543789,0.4924843219,0.7679271054,0.6611481058
meg-griffin,4.072009482,0.6438818542,0.5312317169,0.4665258314,0.6608713503,0.5318657998,0.5945551953,0.6550787499,0.6789126779,0.6781603506,0.7551044993
linda-belcher,4.026455252,0.5828602841,0,0.6784640424,0.7333823487,0.560148827,0.4434297099,0.4576728043,0.6979015469,0.6814571856,0.652389844
roger,3.996086006,0.7744949612,0.381003586,0.6652967021,0.6416766042,0.5379533229,0.5340847227,0.5179025325,0.4593013896,0.7614006409,0.6152637748
bobby,3.921143531,0.7849290498,0.7234384921,0.5359981443,0.5508467368,0.6275772756,0.6143911463,0.4810256347,0.5172764446,0.548471717,0.6199608304
dr-amy-wong,3.917381256,0.5342979021,0,0.7003251861,0.9339912068,0,0.6226235065,0,0.4311602934,0.6047400983,0.5214033561
chris-griffin,3.84977921,0.5420820851,0.463776825,0.7167123524,0.7176144319,0.6349149396,0.4184405036,0.5507758942,0,0.6876795066,0.4736283358
lois-griffin,3.736318958,0.4238480465,0.6328656405,0.3857346963,0.5950273454,0.7115229327,0.5922150742,0,0.5736647501,0,0.6310232155
steve-smith,3.684699757,0,0.554438644,0.7212556506,0.5752738484,0.5547238784,0.6832147868,0.595792949,0.4927674796,0.5122449153,0.3899154341
klaus-heisler,3.4451984,0,0.5180400411,0.5803036205,0.5529045244,0.6926388929,0.5557621671,0.34034226,0.545549154,0.5012762725,0.4798953892
hermes-conrad,2.132757689,0,0,0.455668401,0.30961027,0,0.5432845804,0.374069242,0,0,0.4501251958
mythic-dale,0,0,0,0,0,0,0,0,0,0,0
