 ,rel-rk,BGE Score ,sum of top 7,educated,addicted,armed,athletic,fighter,disguised,musical,animal,artistic,drunk,
bill-dauterive,1,4.84,4.84,0.91,0.00,0.46,0.74,0.58,0.60,0.78,0.59,0.05,0.64,
hank-hill,2,4.81,4.81,0.73,0.73,0.66,0.61,0.50,0.61,0.79,0.54,0.64,0.65,
philip-j-fry,3,4.76,4.76,0.64,0.26,0.58,0.80,0.57,0.64,0.75,0.53,0.63,0.72,
eugene-belcher,4,4.52,4.52,0.72,0.54,0.55,0.72,0.00,0.49,0.81,0.57,0.61,0.54,
tina,5,4.40,4.40,0.57,0.13,0.62,0.64,0.65,0.57,0.60,0.43,0.74,0.58,
bobby,6,4.34,4.34,0.70,0.70,0.52,0.53,0.63,0.63,0.40,0.48,0.60,0.55,
meg-griffin,7,4.31,4.31,0.56,0.48,0.38,0.59,0.54,0.54,0.70,0.62,0.62,0.68,
steve-smith,8,4.26,4.26,0.55,0.53,0.68,0.34,0.57,0.63,0.60,0.54,0.69,0.13,
bender,9,4.20,4.20,0.67,0.42,0.72,0.48,0.41,0.38,0.56,0.61,0.61,0.55,
dr-amy-wong,10,4.19,4.19,0.49,0.69,0.64,0.90,0.10,0.54,0.00,0.46,0.09,0.47,
linda-belcher,11,4.12,4.12,0.61,0.00,0.68,0.63,0.49,0.22,0.43,0.66,0.56,0.49,
peggy,12,4.09,4.09,0.46,0.75,0.54,0.51,0.55,0.52,0.68,0.45,0.53,0.52,
bob,13,4.07,4.07,0.62,0.58,0.43,0.60,0.55,0.62,0.58,0.38,0.52,0.48,
peter,14,3.99,3.99,0.57,0.39,0.53,0.55,0.67,0.50,0.49,0.45,0.67,0.50,
klaus-heisler,15,3.91,3.91,0.64,0.44,0.54,0.54,0.65,0.51,0.20,0.51,0.06,0.52,
stewie,16,3.86,3.86,0.47,0.55,0.49,0.44,0.65,0.48,0.62,0.43,0.52,0.55,
roger,17,3.86,3.86,0.69,0.40,0.49,0.45,0.51,0.49,0.35,0.50,0.68,0.50,
chris-griffin,18,3.81,3.81,0.71,0.38,0.63,0.60,0.45,0.39,0.18,0.00,0.65,0.21,
stan,19,3.68,3.68,0.55,0.59,0.47,0.44,0.49,0.29,0.57,0.43,0.46,0.55,
bill,20,3.63,3.63,0.66,0.00,0.33,0.53,0.44,0.43,0.62,0.47,0.12,0.48,
lois-griffin,21,3.62,3.62,0.09,0.60,0.07,0.51,0.57,0.61,0.00,0.63,0.00,0.61,
leela,22,3.56,3.56,0.36,0.50,0.41,0.54,0.52,0.44,0.51,0.45,0.48,0.56,
louise,23,3.54,3.54,0.53,0.54,0.45,0.49,0.49,0.36,0.49,0.50,0.46,0.50,
hayley,24,3.52,3.52,0.53,0.38,0.46,0.44,0.58,0.37,0.24,0.44,0.47,0.60,
boomhauer,25,3.51,3.51,0.52,0.54,0.44,0.51,0.00,0.43,0.15,0.60,0.15,0.47,
amy,26,3.50,3.50,0.39,0.67,0.49,0.70,0.11,0.44,0.00,0.40,0.20,0.41,
quagmire,27,3.45,3.45,0.43,0.49,0.42,0.45,0.46,0.33,0.51,0.61,0.47,0.46,
gene,28,3.37,3.37,0.51,0.47,0.39,0.50,0.00,0.36,0.59,0.44,0.44,0.42,
fry,29,3.34,3.34,0.44,0.24,0.40,0.55,0.40,0.44,0.54,0.38,0.46,0.51,
hank,30,3.34,3.34,0.46,0.58,0.42,0.40,0.32,0.40,0.55,0.38,0.45,0.48,
professor-farnsworth,31,3.32,3.32,0.45,0.38,0.44,0.49,0.52,0.29,0.00,0.47,0.57,0.19,
teddy,32,3.29,3.29,0.48,0.58,0.51,0.24,0.39,0.37,0.45,0.35,0.51,0.28,
dr-zoidberg,33,3.28,3.28,0.47,0.50,0.39,0.43,0.50,0.37,0.44,0.50,0.44,0.30,
brian,34,3.24,3.24,0.44,0.00,0.34,0.35,0.19,0.48,0.46,0.60,0.57,0.31,
francine-smith,35,3.21,3.21,0.69,0.28,0.34,0.30,0.00,0.56,0.46,0.00,0.58,0.20,
klaus,36,3.20,3.20,0.52,0.44,0.43,0.44,0.52,0.40,0.20,0.43,0.14,0.42,
steve,37,3.18,3.18,0.39,0.48,0.48,0.25,0.41,0.45,0.45,0.41,0.50,0.16,
meg,38,3.14,3.14,0.39,0.41,0.28,0.42,0.38,0.37,0.52,0.47,0.44,0.49,
linda,39,3.01,3.01,0.43,0.00,0.48,0.44,0.34,0.17,0.33,0.50,0.42,0.40,
francine,40,2.79,2.79,0.55,0.30,0.29,0.27,0.00,0.47,0.42,0.00,0.48,0.28,
bullock,41,2.75,2.75,0.33,0.42,0.32,0.35,0.36,0.40,0.37,0.00,0.12,0.52,
lois,42,2.74,2.74,0.10,0.51,0.14,0.37,0.41,0.40,0.00,0.47,0.00,0.44,
dale,43,2.59,2.59,0.43,0.28,0.31,0.25,0.33,0.27,0.42,0.39,0.43,0.00,
chris,44,2.50,2.50,0.46,0.32,0.39,0.39,0.27,0.25,0.17,0.00,0.42,0.14,
hermes-conrad,45,1.05,1.05,0.00,0.00,0.15,0.05,0.00,0.58,0.12,0.00,0.00,0.15,
hermes,46,1.02,1.02,0.00,0.00,0.18,0.09,0.00,0.41,0.14,0.00,0.00,0.20,
mort,47,0.68,0.68,0.00,0.00,0.27,0.00,0.00,0.16,0.25,0.00,0.00,0.00,
luanns,48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
