 ,rel-rk,BGE Score ,sum of top 7,educated,addicted,armed,athletic,fighter,disguised,musical,animal,artistic,drunk,
mythic-bob,1,6.20,6.20,0.97,0.68,0.69,0.99,0.87,1.00,0.89,0.57,0.79,0.64,
mythic-dr-zoidberg,2,6.14,6.14,0.94,0.82,0.77,0.86,0.99,0.75,0.84,0.88,0.81,0.51,
mythic-bobby,3,6.11,6.11,0.97,1.00,0.73,0.74,0.89,0.90,0.56,0.67,0.83,0.78,
mythic-tina,4,6.11,6.11,0.79,0.19,0.86,0.90,0.91,0.80,0.84,0.60,1.00,0.80,
mythic-peggy,5,6.02,6.02,0.69,0.92,0.82,0.81,0.84,0.83,1.00,0.63,0.80,0.75,
mythic-hayley,6,5.93,5.93,0.90,0.55,0.79,0.76,1.00,0.57,0.32,0.70,0.79,0.99,
mythic-quagmire,7,5.81,5.81,0.75,0.66,0.71,0.81,0.82,0.54,0.83,1.00,0.81,0.79,
mythic-professor-farnsworth,8,5.78,5.78,0.80,0.55,0.77,0.92,0.93,0.59,0.00,0.78,0.99,0.19,
mythic-bender,9,5.77,5.77,0.91,0.59,1.00,0.67,0.57,0.53,0.75,0.84,0.82,0.78,
mythic-peter,10,5.70,5.70,0.81,0.56,0.76,0.78,0.95,0.73,0.72,0.64,0.94,0.73,
mythic-stewie,11,5.70,5.70,0.72,0.64,0.76,0.65,0.97,0.77,0.90,0.60,0.77,0.81,
mythic-leela,12,5.62,5.62,0.58,0.64,0.59,0.91,0.84,0.72,0.78,0.70,0.74,0.93,
mythic-teddy,13,5.53,5.53,0.84,0.82,0.94,0.32,0.67,0.66,0.73,0.58,0.87,0.34,
mythic-stan,14,5.50,5.50,0.88,0.78,0.70,0.69,0.79,0.43,0.87,0.62,0.70,0.78,
mythic-bobby_lvl_1,15,5.50,5.50,0.87,0.90,0.66,0.67,0.80,0.81,0.51,0.61,0.75,0.70,
mythic-louise,16,5.49,5.49,0.84,0.76,0.71,0.80,0.79,0.54,0.78,0.75,0.70,0.77,
mythic-bob_lvl_1,17,5.47,5.47,0.86,0.60,0.61,0.87,0.77,0.88,0.78,0.51,0.70,0.57,
mythic-boomhauer,18,5.41,5.41,0.82,0.71,0.75,0.85,0.00,0.72,0.14,0.90,0.09,0.66,
mythic-tina_lvl_1,19,5.35,5.35,0.69,0.17,0.75,0.79,0.79,0.70,0.73,0.53,0.88,0.71,
mythic-dr-zoidberg_lvl_1,20,5.27,5.27,0.81,0.70,0.66,0.74,0.85,0.64,0.71,0.76,0.70,0.44,
mythic-bullock,21,5.08,5.08,0.61,0.64,0.60,0.70,0.69,0.78,0.66,0.00,0.09,1.00,
mythic-peggy_lvl_1,22,5.05,5.05,0.58,0.77,0.69,0.68,0.70,0.69,0.84,0.53,0.68,0.63,
mythic-hayley_lvl_1,23,5.04,5.04,0.77,0.46,0.67,0.64,0.84,0.48,0.27,0.60,0.68,0.84,
mythic-leela_lvl_1,24,5.01,5.01,0.52,0.57,0.53,0.81,0.75,0.64,0.70,0.62,0.66,0.83,
mythic-quagmire_lvl_1,25,5.00,5.00,0.65,0.57,0.61,0.69,0.70,0.46,0.72,0.86,0.70,0.68,
mythic-stewie_lvl_1,26,4.98,4.98,0.63,0.56,0.66,0.56,0.85,0.66,0.79,0.53,0.68,0.71,
mythic-bender_lvl_1,27,4.96,4.96,0.79,0.50,0.86,0.57,0.49,0.46,0.65,0.72,0.71,0.66,
mythic-dale,28,4.85,4.85,0.89,0.42,0.59,0.40,0.63,0.48,0.73,0.71,0.82,0.00,
mythic-peter_lvl_1,29,4.84,4.84,0.69,0.48,0.65,0.66,0.81,0.61,0.60,0.54,0.80,0.62,
mythic-professor-farnsworth_lvl_1,30,4.83,4.83,0.67,0.46,0.64,0.77,0.78,0.48,0.00,0.65,0.84,0.16,
mythic-brian,31,4.80,4.80,0.68,0.00,0.55,0.40,0.26,0.79,0.63,0.88,0.87,0.30,
mythic-louise_lvl_1,32,4.72,4.72,0.73,0.65,0.62,0.69,0.68,0.47,0.67,0.64,0.61,0.66,
mythic-stan_lvl_1,33,4.71,4.71,0.75,0.66,0.60,0.60,0.67,0.37,0.75,0.53,0.61,0.67,
mythic-boomhauer_lvl_1,34,4.54,4.54,0.69,0.60,0.62,0.71,0.00,0.60,0.12,0.76,0.07,0.56,
mythic-teddy_lvl_1,35,4.51,4.51,0.68,0.67,0.76,0.26,0.55,0.53,0.60,0.47,0.72,0.28,
mythic-bullock_lvl_1,36,4.23,4.23,0.51,0.53,0.49,0.58,0.58,0.65,0.55,0.00,0.07,0.83,
mythic-dale_lvl_1,37,4.13,4.13,0.75,0.36,0.51,0.33,0.54,0.41,0.62,0.60,0.70,0.00,
mythic-brian_lvl_1,38,4.11,4.11,0.59,0.00,0.47,0.34,0.22,0.67,0.54,0.75,0.75,0.25,
