| | rel-rk | BGE Score | Sum of top 7 |educated|addicted|armed|athletic|fighter|disguised|musical|animal|artistic|drunk|
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|mythic-bob| 1 | 6.16 | 6.16 |0.97|0.68|0.69|0.99|0.87|1.00|0.89|0.57|0.75|0.64|
|mythic-dr-zoidberg| 2 | 6.10 | 6.10 |0.94|0.82|0.77|0.86|0.99|0.75|0.84|0.88|0.76|0.51|
|mythic-tina| 3 | 6.10 | 6.10 |0.79|0.19|0.86|0.90|0.91|0.80|0.84|0.60|0.99|0.80|
|mythic-bobby| 4 | 6.07 | 6.07 |0.97|1.00|0.73|0.74|0.89|0.90|0.56|0.67|0.79|0.78|
|mythic-peggy| 5 | 5.97 | 5.97 |0.69|0.92|0.82|0.81|0.84|0.83|1.00|0.63|0.75|0.75|
|mythic-hayley| 6 | 5.89 | 5.89 |0.90|0.55|0.79|0.76|1.00|0.57|0.32|0.70|0.75|0.99|
|mythic-professor-farnsworth| 7 | 5.79 | 5.79 |0.80|0.55|0.77|0.92|0.93|0.59|0.00|0.78|1.00|0.19|
|mythic-quagmire| 8 | 5.76 | 5.76 |0.75|0.66|0.71|0.81|0.82|0.54|0.83|1.00|0.76|0.79|
|mythic-bender| 9 | 5.72 | 5.72 |0.91|0.59|1.00|0.67|0.57|0.53|0.75|0.84|0.77|0.78|
|mythic-peter| 10 | 5.67 | 5.67 |0.81|0.56|0.76|0.78|0.95|0.73|0.72|0.64|0.91|0.73|
|mythic-stewie| 11 | 5.66 | 5.66 |0.72|0.64|0.76|0.65|0.97|0.77|0.90|0.60|0.73|0.81|
|mythic-leela| 12 | 5.57 | 5.57 |0.58|0.64|0.59|0.91|0.84|0.72|0.78|0.70|0.69|0.93|
|mythic-teddy| 13 | 5.50 | 5.50 |0.84|0.82|0.94|0.32|0.67|0.66|0.73|0.58|0.84|0.34|
|mythic-stan| 14 | 5.49 | 5.49 |0.88|0.78|0.70|0.69|0.79|0.43|0.87|0.62|0.64|0.78|
|mythic-louise| 15 | 5.49 | 5.49 |0.84|0.76|0.71|0.80|0.79|0.54|0.78|0.75|0.63|0.77|
|mythic-bobby_lvl_1| 16 | 5.47 | 5.47 |0.87|0.90|0.66|0.67|0.80|0.81|0.51|0.61|0.72|0.70|
|mythic-bob_lvl_1| 17 | 5.43 | 5.43 |0.86|0.60|0.61|0.87|0.77|0.88|0.78|0.51|0.66|0.57|
|mythic-boomhauer| 18 | 5.41 | 5.41 |0.82|0.71|0.75|0.85|0.00|0.72|0.14|0.90|0.08|0.66|
|mythic-tina_lvl_1| 19 | 5.34 | 5.34 |0.69|0.17|0.75|0.79|0.79|0.70|0.73|0.53|0.87|0.71|
|mythic-dr-zoidberg_lvl_1| 20 | 5.23 | 5.23 |0.81|0.70|0.66|0.74|0.85|0.64|0.71|0.76|0.66|0.44|
|mythic-bullock| 21 | 5.08 | 5.08 |0.61|0.64|0.60|0.70|0.69|0.78|0.66|0.00|0.08|1.00|
|mythic-hayley_lvl_1| 22 | 5.00 | 5.00 |0.77|0.46|0.67|0.64|0.84|0.48|0.27|0.60|0.64|0.84|
|mythic-peggy_lvl_1| 23 | 5.00 | 5.00 |0.58|0.77|0.69|0.68|0.70|0.69|0.84|0.53|0.63|0.63|
|mythic-leela_lvl_1| 24 | 4.97 | 4.97 |0.52|0.57|0.53|0.81|0.75|0.64|0.70|0.62|0.62|0.83|
|mythic-quagmire_lvl_1| 25 | 4.96 | 4.96 |0.65|0.57|0.61|0.69|0.70|0.46|0.72|0.86|0.66|0.68|
|mythic-stewie_lvl_1| 26 | 4.93 | 4.93 |0.63|0.56|0.66|0.56|0.85|0.66|0.79|0.53|0.63|0.71|
|mythic-bender_lvl_1| 27 | 4.91 | 4.91 |0.79|0.50|0.86|0.57|0.49|0.46|0.65|0.72|0.66|0.66|
|mythic-professor-farnsworth_lvl_1| 28 | 4.83 | 4.83 |0.67|0.46|0.64|0.77|0.78|0.48|0.00|0.65|0.84|0.16|
|mythic-dale| 29 | 4.81 | 4.81 |0.89|0.42|0.59|0.40|0.63|0.48|0.73|0.71|0.78|0.00|
|mythic-peter_lvl_1| 30 | 4.81 | 4.81 |0.69|0.48|0.65|0.66|0.81|0.61|0.60|0.54|0.77|0.62|
|mythic-brian| 31 | 4.78 | 4.78 |0.68|0.00|0.55|0.40|0.26|0.79|0.63|0.88|0.85|0.30|
|mythic-louise_lvl_1| 32 | 4.72 | 4.72 |0.73|0.65|0.62|0.69|0.68|0.47|0.67|0.64|0.55|0.66|
|mythic-stan_lvl_1| 33 | 4.70 | 4.70 |0.75|0.66|0.60|0.60|0.67|0.37|0.75|0.53|0.55|0.67|
|mythic-boomhauer_lvl_1| 34 | 4.54 | 4.54 |0.69|0.60|0.62|0.71|0.00|0.60|0.12|0.76|0.07|0.56|
|mythic-teddy_lvl_1| 35 | 4.48 | 4.48 |0.68|0.67|0.76|0.26|0.55|0.53|0.60|0.47|0.69|0.28|
|mythic-bullock_lvl_1| 36 | 4.23 | 4.23 |0.51|0.53|0.49|0.58|0.58|0.65|0.55|0.00|0.06|0.83|
|mythic-dale_lvl_1| 37 | 4.10 | 4.10 |0.75|0.36|0.51|0.33|0.54|0.41|0.62|0.60|0.67|0.00|
|mythic-brian_lvl_1| 38 | 4.09 | 4.09 |0.59|0.00|0.47|0.34|0.22|0.67|0.54|0.75|0.73|0.25|
|
