| | BGE Score | Sum of top 7 |educated|addicted|armed|athletic|fighter|disguised|musical|animal|artistic|drunk|
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|mythic-peggy| 6.12 | 6.12 |0.57|0.91|0.91|0.85|0.82|0.80|1.00|0.63|0.83|0.75|
|mythic-bob| 6.03 | 6.03 |0.94|0.71|0.63|0.96|0.87|1.00|0.83|0.58|0.64|0.72|
|mythic-bobby| 6.01 | 6.01 |0.95|1.00|0.75|0.69|0.89|0.85|0.53|0.60|0.29|0.88|
|mythic-dr-zoidberg| 6.00 | 6.00 |1.00|0.83|0.77|0.88|0.90|0.75|0.79|0.83|0.58|0.60|
|mythic-quagmire| 5.93 | 5.93 |0.78|0.73|0.79|0.60|0.87|0.54|0.89|1.00|0.11|0.87|
|mythic-peter| 5.76 | 5.76 |0.79|0.48|0.84|0.79|0.96|0.48|0.59|0.62|1.00|0.76|
|mythic-tina| 5.72 | 5.72 |0.80|0.18|0.86|0.86|0.79|0.75|0.82|0.49|0.73|0.84|
|mythic-stewie| 5.68 | 5.68 |0.74|0.64|0.80|0.66|0.99|0.76|0.85|0.60|0.52|0.88|
|mythic-stan| 5.59 | 5.59 |0.85|0.77|0.79|0.70|0.78|0.45|0.82|0.62|0.71|0.87|
|mythic-leela| 5.58 | 5.58 |0.61|0.64|0.64|0.79|0.87|0.75|0.74|0.70|0.73|1.00|
|mythic-hayley| 5.51 | 5.51 |0.76|0.43|0.77|0.70|1.00|0.52|0.30|0.71|0.58|0.99|
|mythic-boomhauer| 5.50 | 5.50 |0.84|0.68|0.78|0.78|0.00|0.78|0.13|0.90|0.13|0.74|
|mythic-bender| 5.48 | 5.48 |0.94|0.67|1.00|0.55|0.62|0.48|0.64|0.59|0.77|0.84|
|mythic-bobby_lvl_1| 5.40 | 5.40 |0.85|0.90|0.68|0.62|0.80|0.77|0.48|0.54|0.26|0.78|
|mythic-teddy| 5.39 | 5.39 |0.87|0.77|1.00|0.31|0.81|0.66|0.69|0.59|0.00|0.41|
|mythic-louise| 5.38 | 5.38 |0.86|0.45|0.71|0.76|0.83|0.51|0.65|0.71|0.68|0.83|
|bill-dauterive_lvl_18| 5.36 | 5.36 |0.98|0.00|0.54|0.80|0.70|0.67|0.86|0.61|0.07|0.74|
|hank-hill_lvl_18| 5.35 | 5.35 |0.84|0.79|0.77|0.64|0.57|0.64|0.80|0.60|0.72|0.79|
|philip-j-fry_lvl_18| 5.32 | 5.32 |0.70|0.31|0.64|0.86|0.70|0.74|0.86|0.62|0.52|0.82|
|mythic-bob_lvl_1| 5.32 | 5.32 |0.83|0.63|0.56|0.85|0.77|0.88|0.73|0.51|0.57|0.63|
|mythic-professor-farnsworth| 5.28 | 5.28 |0.76|0.56|0.77|0.94|0.93|0.54|0.00|0.78|0.17|0.22|
|mythic-dr-zoidberg_lvl_1| 5.14 | 5.14 |0.86|0.71|0.66|0.75|0.77|0.65|0.67|0.72|0.50|0.52|
|mythic-peggy_lvl_1| 5.12 | 5.12 |0.48|0.76|0.76|0.71|0.69|0.66|0.84|0.53|0.70|0.63|
|mythic-quagmire_lvl_1| 5.11 | 5.11 |0.68|0.63|0.68|0.52|0.75|0.46|0.77|0.86|0.09|0.74|
|mythic-leela_lvl_1| 4.98 | 4.98 |0.54|0.57|0.57|0.71|0.78|0.67|0.66|0.62|0.65|0.89|
|mythic-tina_lvl_1| 4.98 | 4.98 |0.70|0.16|0.75|0.75|0.69|0.65|0.71|0.43|0.65|0.73|
|hank-hill| 4.97 | 4.97 |0.78|0.74|0.71|0.60|0.53|0.59|0.74|0.56|0.67|0.73|
|mythic-stewie_lvl_1| 4.94 | 4.94 |0.65|0.55|0.69|0.58|0.87|0.65|0.74|0.53|0.46|0.76|
|mythic-bullock| 4.94 | 4.94 |0.69|0.65|0.65|0.66|0.60|0.79|0.52|0.00|0.13|0.90|
|meg-griffin_lvl_18| 4.92 | 4.92 |0.66|0.53|0.48|0.52|0.64|0.62|0.76|0.69|0.72|0.83|
|mythic-peter_lvl_1| 4.92 | 4.92 |0.68|0.41|0.72|0.67|0.82|0.41|0.50|0.53|0.85|0.65|
|bill-dauterive| 4.90 | 4.90 |0.90|0.00|0.49|0.73|0.64|0.61|0.79|0.55|0.06|0.68|
|eugene-belcher_lvl_18| 4.82 | 4.82 |0.63|0.56|0.61|0.77|0.00|0.49|0.86|0.65|0.62|0.68|
|mythic-stan_lvl_1| 4.80 | 4.80 |0.73|0.66|0.67|0.60|0.67|0.38|0.71|0.53|0.62|0.74|
|mythic-bender_lvl_1| 4.71 | 4.71 |0.81|0.57|0.86|0.47|0.54|0.41|0.56|0.51|0.66|0.71|
|dr-amy-wong_lvl_18| 4.70 | 4.70 |0.57|0.72|0.70|1.00|0.12|0.57|0.00|0.52|0.13|0.62|
|philip-j-fry| 4.68 | 4.68 |0.62|0.27|0.56|0.75|0.62|0.65|0.76|0.54|0.46|0.72|
|peter_lvl_18| 4.67 | 4.67 |0.65|0.39|0.68|0.64|0.78|0.39|0.48|0.50|0.81|0.61|
|mythic-hayley_lvl_1| 4.66 | 4.66 |0.64|0.37|0.65|0.59|0.84|0.44|0.25|0.60|0.50|0.84|
|mythic-louise_lvl_1| 4.65 | 4.65 |0.74|0.39|0.61|0.65|0.72|0.44|0.56|0.61|0.60|0.72|
|bobby_lvl_18| 4.64 | 4.64 |0.74|0.77|0.58|0.53|0.69|0.66|0.41|0.47|0.22|0.67|
|mythic-brian| 4.62 | 4.62 |0.72|0.00|0.55|0.41|0.19|0.73|0.58|0.81|0.82|0.33|
|mythic-boomhauer_lvl_1| 4.61 | 4.61 |0.71|0.57|0.65|0.65|0.00|0.65|0.11|0.76|0.10|0.62|
|mythic-dale| 4.61 | 4.61 |0.91|0.43|0.65|0.43|0.67|0.50|0.73|0.72|0.00|0.00|
|klaus-heisler_lvl_18| 4.48 | 4.48 |0.71|0.52|0.64|0.62|0.78|0.56|0.21|0.53|0.10|0.64|
|bender_lvl_18| 4.44 | 4.44 |0.77|0.54|0.81|0.44|0.50|0.39|0.53|0.48|0.62|0.67|
|mythic-professor-farnsworth_lvl_1| 4.41 | 4.41 |0.64|0.47|0.64|0.78|0.78|0.45|0.00|0.65|0.14|0.19|
|meg-griffin| 4.39 | 4.39 |0.59|0.48|0.42|0.47|0.57|0.55|0.68|0.62|0.64|0.74|
|tina_lvl_18| 4.38 | 4.38 |0.62|0.13|0.66|0.66|0.61|0.57|0.62|0.38|0.57|0.64|
