| | BGE Score | Sum of top 7 |educated|addicted|armed|athletic|fighter|disguised|musical|animal|artistic|drunk|
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|mythic-peggy| 6.16 | 6.16 |0.55|0.92|0.92|0.83|0.85|0.81|1.00|0.63|0.83|0.71|
|mythic-bob| 6.06 | 6.06 |0.97|0.71|0.64|0.93|0.87|1.00|0.90|0.58|0.64|0.68|
|mythic-dr-zoidberg| 6.03 | 6.03 |0.95|0.83|0.82|0.85|0.84|0.75|0.82|0.92|0.58|0.57|
|mythic-bobby| 6.02 | 6.02 |0.97|1.00|0.76|0.66|0.90|0.90|0.53|0.60|0.29|0.83|
|mythic-quagmire| 5.89 | 5.89 |0.75|0.73|0.80|0.60|0.81|0.54|0.89|1.00|0.11|0.91|
|mythic-peter| 5.78 | 5.78 |0.80|0.48|0.84|0.76|0.97|0.48|0.65|0.62|1.00|0.76|
|mythic-tina| 5.76 | 5.76 |0.78|0.19|0.94|0.88|0.75|0.80|0.82|0.49|0.74|0.79|
|mythic-stewie| 5.65 | 5.65 |0.71|0.64|0.82|0.64|0.99|0.77|0.89|0.60|0.52|0.83|
|mythic-stan| 5.62 | 5.62 |0.88|0.77|0.78|0.69|0.79|0.45|0.82|0.62|0.71|0.87|
|mythic-hayley| 5.57 | 5.57 |0.72|0.43|0.76|0.74|1.00|0.52|0.30|0.71|0.64|1.00|
|mythic-boomhauer| 5.54 | 5.54 |0.80|0.74|0.78|0.84|0.00|0.78|0.13|0.90|0.13|0.70|
|mythic-louise| 5.53 | 5.53 |0.90|0.52|0.77|0.79|0.85|0.51|0.65|0.71|0.68|0.83|
|mythic-bender| 5.49 | 5.49 |0.90|0.67|0.99|0.53|0.58|0.48|0.75|0.59|0.77|0.82|
|mythic-leela| 5.48 | 5.48 |0.58|0.64|0.64|0.78|0.84|0.75|0.74|0.70|0.73|0.94|
|mythic-professor-farnsworth| 5.45 | 5.45 |0.81|0.56|0.77|1.00|0.93|0.60|0.00|0.78|0.17|0.21|
|mythic-bobby_lvl_1| 5.42 | 5.42 |0.87|0.90|0.69|0.60|0.81|0.81|0.48|0.54|0.26|0.74|
|bill-dauterive_lvl_18| 5.36 | 5.36 |1.00|0.00|0.54|0.77|0.65|0.67|0.86|0.67|0.07|0.74|
|mythic-bob_lvl_1| 5.35 | 5.35 |0.86|0.63|0.57|0.82|0.77|0.88|0.79|0.51|0.57|0.60|
|mythic-teddy| 5.34 | 5.34 |0.82|0.84|1.00|0.32|0.75|0.65|0.69|0.59|0.00|0.39|
|hank-hill_lvl_18| 5.34 | 5.34 |0.81|0.79|0.76|0.67|0.53|0.67|0.85|0.60|0.72|0.74|
|philip-j-fry_lvl_18| 5.26 | 5.26 |0.66|0.31|0.64|0.87|0.65|0.74|0.87|0.62|0.52|0.83|
|mythic-dr-zoidberg_lvl_1| 5.17 | 5.17 |0.82|0.71|0.71|0.72|0.72|0.65|0.70|0.79|0.50|0.49|
|mythic-peggy_lvl_1| 5.15 | 5.15 |0.46|0.77|0.77|0.69|0.71|0.67|0.84|0.53|0.70|0.59|
|mythic-quagmire_lvl_1| 5.05 | 5.05 |0.64|0.63|0.68|0.51|0.69|0.46|0.77|0.86|0.09|0.78|
|mythic-tina_lvl_1| 5.02 | 5.02 |0.68|0.17|0.82|0.77|0.65|0.70|0.71|0.43|0.65|0.69|
|hank-hill| 4.97 | 4.97 |0.75|0.74|0.71|0.62|0.49|0.62|0.79|0.56|0.67|0.69|
|mythic-stewie_lvl_1| 4.91 | 4.91 |0.62|0.55|0.71|0.55|0.86|0.67|0.78|0.53|0.46|0.72|
|mythic-peter_lvl_1| 4.91 | 4.91 |0.68|0.41|0.72|0.65|0.82|0.41|0.55|0.53|0.85|0.64|
|bill-dauterive| 4.89 | 4.89 |0.91|0.00|0.49|0.70|0.59|0.61|0.79|0.61|0.06|0.68|
|mythic-leela_lvl_1| 4.88 | 4.88 |0.52|0.57|0.57|0.70|0.75|0.66|0.66|0.62|0.65|0.84|
|mythic-bullock| 4.83 | 4.83 |0.66|0.65|0.65|0.63|0.56|0.79|0.60|0.00|0.13|0.85|
|eugene-belcher_lvl_18| 4.83 | 4.83 |0.67|0.56|0.62|0.77|0.00|0.49|0.86|0.65|0.62|0.64|
|mythic-stan_lvl_1| 4.83 | 4.83 |0.75|0.66|0.67|0.59|0.68|0.38|0.71|0.53|0.62|0.74|
|meg-griffin_lvl_18| 4.80 | 4.80 |0.63|0.53|0.47|0.50|0.59|0.62|0.77|0.69|0.72|0.78|
|mythic-louise_lvl_1| 4.78 | 4.78 |0.78|0.45|0.66|0.68|0.73|0.44|0.56|0.61|0.60|0.72|
|mythic-hayley_lvl_1| 4.73 | 4.73 |0.61|0.37|0.65|0.63|0.84|0.44|0.25|0.60|0.55|0.85|
|dr-amy-wong_lvl_18| 4.72 | 4.72 |0.55|0.77|0.76|0.97|0.11|0.57|0.00|0.52|0.14|0.58|
|mythic-bender_lvl_1| 4.72 | 4.72 |0.78|0.57|0.85|0.45|0.50|0.41|0.65|0.51|0.66|0.70|
|mythic-brian| 4.70 | 4.70 |0.68|0.00|0.62|0.39|0.18|0.73|0.58|0.88|0.82|0.35|
|peter_lvl_18| 4.69 | 4.69 |0.65|0.39|0.68|0.62|0.79|0.39|0.53|0.50|0.81|0.61|
|philip-j-fry| 4.64 | 4.64 |0.59|0.27|0.56|0.77|0.57|0.65|0.77|0.54|0.46|0.73|
|bobby_lvl_18| 4.64 | 4.64 |0.75|0.77|0.59|0.51|0.70|0.69|0.41|0.47|0.22|0.63|
|mythic-boomhauer_lvl_1| 4.64 | 4.64 |0.68|0.62|0.65|0.70|0.00|0.64|0.11|0.76|0.10|0.59|
|mythic-dale| 4.56 | 4.56 |0.87|0.43|0.67|0.42|0.62|0.51|0.74|0.72|0.00|0.00|
|mythic-professor-farnsworth_lvl_1| 4.55 | 4.55 |0.68|0.47|0.64|0.83|0.78|0.50|0.00|0.65|0.14|0.18|
|bender_lvl_18| 4.43 | 4.43 |0.73|0.54|0.80|0.43|0.47|0.39|0.61|0.48|0.62|0.65|
|tina_lvl_18| 4.42 | 4.42 |0.60|0.15|0.72|0.68|0.58|0.61|0.62|0.38|0.58|0.61|
|klaus-heisler_lvl_18| 4.42 | 4.42 |0.76|0.52|0.64|0.60|0.72|0.56|0.21|0.53|0.10|0.61|
|eugene-belcher| 4.35 | 4.35 |0.61|0.50|0.56|0.69|0.00|0.44|0.78|0.58|0.56|0.57|
|mythic-teddy_lvl_1| 4.33 | 4.33 |0.67|0.68|0.81|0.26|0.60|0.53|0.56|0.48|0.00|0.32|
|dr-amy-wong| 4.30 | 4.30 |0.50|0.70|0.69|0.88|0.10|0.52|0.00|0.48|0.13|0.53|
|linda-belcher_lvl_18| 4.30 | 4.30 |0.52|0.00|0.79|0.71|0.40|0.25|0.43|0.73|0.56|0.56|
|meg-griffin| 4.28 | 4.28 |0.56|0.48|0.42|0.45|0.52|0.55|0.69|0.62|0.64|0.70|
|bobby| 4.25 | 4.25 |0.69|0.70|0.54|0.47|0.64|0.63|0.38|0.43|0.20|0.58|
|peggy| 4.22 | 4.22 |0.36|0.75|0.61|0.52|0.56|0.51|0.68|0.45|0.59|0.51|
|lois-griffin_lvl_18| 4.14 | 4.14 |0.09|0.68|0.09|0.53|0.67|0.68|0.00|0.74|0.00|0.75|
|tina| 4.12 | 4.12 |0.56|0.13|0.67|0.63|0.54|0.57|0.58|0.36|0.54|0.57|
|chris-griffin_lvl_18| 4.08 | 4.08 |0.77|0.43|0.75|0.61|0.43|0.37|0.20|0.00|0.72|0.14|
|bob| 4.06 | 4.06 |0.62|0.60|0.41|0.57|0.55|0.62|0.59|0.39|0.51|0.49|
|peter| 4.05 | 4.05 |0.57|0.34|0.59|0.53|0.68|0.34|0.45|0.44|0.71|0.52|
|mythic-brian_lvl_1| 4.02 | 4.02 |0.58|0.00|0.53|0.33|0.15|0.62|0.50|0.75|0.71|0.29|
|mythic-bullock_lvl_1| 4.02 | 4.02 |0.55|0.54|0.54|0.53|0.47|0.65|0.50|0.00|0.10|0.71|
|bender| 3.98 | 3.98 |0.66|0.48|0.72|0.39|0.42|0.35|0.55|0.43|0.56|0.58|
|steve-smith| 3.94 | 3.94 |0.48|0.52|0.73|0.26|0.56|0.62|0.52|0.51|0.13|0.14|
|linda-belcher| 3.92 | 3.92 |0.48|0.00|0.72|0.65|0.37|0.23|0.39|0.66|0.51|0.51|
|klaus-heisler| 3.90 | 3.90 |0.67|0.46|0.56|0.53|0.64|0.49|0.19|0.47|0.09|0.54|
|mythic-dale_lvl_1| 3.87 | 3.87 |0.73|0.37|0.57|0.35|0.53|0.43|0.63|0.61|0.00|0.00|
|chris-griffin| 3.84 | 3.84 |0.73|0.41|0.70|0.57|0.41|0.35|0.19|0.00|0.67|0.13|
|roger| 3.84 | 3.84 |0.69|0.43|0.51|0.43|0.46|0.43|0.34|0.53|0.72|0.50|
|stewie| 3.84 | 3.84 |0.46|0.55|0.52|0.44|0.66|0.48|0.61|0.43|0.39|0.56|
|stan| 3.83 | 3.83 |0.54|0.59|0.52|0.44|0.49|0.30|0.54|0.43|0.54|0.61|
|lois-griffin| 3.69 | 3.69 |0.08|0.60|0.08|0.48|0.59|0.61|0.00|0.66|0.00|0.67|
|bill| 3.66 | 3.66 |0.66|0.00|0.35|0.50|0.45|0.44|0.62|0.48|0.14|0.51|
|amy| 3.58 | 3.58 |0.39|0.68|0.53|0.68|0.11|0.43|0.00|0.41|0.28|0.46|
|boomhauer| 3.58 | 3.58 |0.51|0.56|0.46|0.50|0.00|0.45|0.14|0.60|0.21|0.50|
|louise| 3.58 | 3.58 |0.56|0.41|0.48|0.49|0.53|0.34|0.42|0.48|0.49|0.55|
|quagmire| 3.56 | 3.56 |0.43|0.54|0.47|0.34|0.45|0.33|0.54|0.61|0.18|0.52|
|leela| 3.54 | 3.54 |0.36|0.50|0.44|0.47|0.52|0.46|0.49|0.45|0.53|0.57|
|hank| 3.46 | 3.46 |0.48|0.59|0.45|0.41|0.31|0.40|0.54|0.40|0.48|0.51|
|francine-smith_lvl_18| 3.38 | 3.38 |0.78|0.34|0.32|0.28|0.00|0.65|0.42|0.00|0.59|0.25|
|hayley| 3.31 | 3.31 |0.43|0.32|0.44|0.43|0.58|0.34|0.23|0.45|0.37|0.61|
|brian| 3.27 | 3.27 |0.44|0.00|0.39|0.34|0.14|0.45|0.43|0.60|0.60|0.36|
|fry| 3.26 | 3.26 |0.41|0.25|0.38|0.53|0.40|0.45|0.56|0.38|0.40|0.51|
|gene| 3.26 | 3.26 |0.43|0.44|0.40|0.48|0.00|0.33|0.57|0.44|0.45|0.45|
|klaus| 3.21 | 3.21 |0.54|0.45|0.44|0.43|0.51|0.38|0.19|0.41|0.20|0.43|
|dr-zoidberg| 3.19 | 3.19 |0.47|0.51|0.41|0.42|0.43|0.37|0.43|0.52|0.33|0.33|
|teddy| 3.18 | 3.18 |0.47|0.59|0.55|0.24|0.42|0.37|0.42|0.36|0.00|0.32|
|meg| 3.12 | 3.12 |0.39|0.41|0.31|0.32|0.37|0.37|0.52|0.47|0.46|0.50|
|professor-farnsworth| 3.12 | 3.12 |0.46|0.39|0.45|0.53|0.52|0.30|0.00|0.47|0.17|0.20|
|francine-smith| 2.99 | 2.99 |0.69|0.30|0.29|0.24|0.00|0.57|0.37|0.00|0.53|0.22|
|linda| 2.97 | 2.97 |0.35|0.00|0.51|0.45|0.27|0.17|0.31|0.50|0.43|0.42|
|lois| 2.81 | 2.81 |0.09|0.51|0.16|0.35|0.42|0.40|0.00|0.49|0.00|0.48|
|francine| 2.76 | 2.76 |0.56|0.32|0.25|0.22|0.00|0.47|0.35|0.00|0.49|0.32|
|bullock| 2.65 | 2.65 |0.35|0.42|0.35|0.32|0.30|0.40|0.35|0.00|0.16|0.46|
|chris| 2.52 | 2.52 |0.47|0.34|0.43|0.37|0.25|0.23|0.17|0.00|0.43|0.11|
|dale| 2.51 | 2.51 |0.42|0.29|0.35|0.25|0.33|0.29|0.43|0.40|0.00|0.00|
|steve-smith_lvl_18| 1.87 | 1.87 |0.29|0.24|0.27|0.18|0.27|0.26|0.30|0.24|0.09|0.11|
