| | rel-rk | BGE Score | Sum of top 7 |educated|addicted|armed|athletic|fighter|disguised|musical|animal|artistic|drunk|
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|mythic-bobby_lvl_1| 1 | 5.47 | 5.47 |0.87|0.90|0.66|0.67|0.80|0.81|0.51|0.61|0.72|0.70|
|mythic-bob_lvl_1| 2 | 5.43 | 5.43 |0.86|0.60|0.61|0.87|0.77|0.88|0.78|0.51|0.66|0.57|
|philip-j-fry_lvl_18| 1001 | 5.37 | 5.37 |0.72|0.29|0.66|0.91|0.65|0.73|0.85|0.60|0.67|0.83|
|mythic-tina_lvl_1| 3 | 5.34 | 5.34 |0.69|0.17|0.75|0.79|0.79|0.70|0.73|0.53|0.87|0.71|
|bill-dauterive_lvl_18| 1002 | 5.32 | 5.32 |1.00|0.00|0.50|0.81|0.64|0.66|0.86|0.65|0.05|0.70|
|mythic-dr-zoidberg_lvl_1| 4 | 5.23 | 5.23 |0.81|0.70|0.66|0.74|0.85|0.64|0.71|0.76|0.66|0.44|
|hank-hill_lvl_18| 1003 | 5.17 | 5.17 |0.79|0.79|0.72|0.65|0.54|0.66|0.85|0.58|0.66|0.70|
|mythic-hayley_lvl_1| 5 | 5.00 | 5.00 |0.77|0.46|0.67|0.64|0.84|0.48|0.27|0.60|0.64|0.84|
|mythic-peggy_lvl_1| 6 | 5.00 | 5.00 |0.58|0.77|0.69|0.68|0.70|0.69|0.84|0.53|0.63|0.63|
|eugene-belcher_lvl_18| 1004 | 4.98 | 4.98 |0.80|0.60|0.61|0.80|0.00|0.55|0.90|0.64|0.63|0.60|
|mythic-leela_lvl_1| 7 | 4.97 | 4.97 |0.52|0.57|0.53|0.81|0.75|0.64|0.70|0.62|0.62|0.83|
|mythic-quagmire_lvl_1| 8 | 4.96 | 4.96 |0.65|0.57|0.61|0.69|0.70|0.46|0.72|0.86|0.66|0.68|
|mythic-stewie_lvl_1| 9 | 4.93 | 4.93 |0.63|0.56|0.66|0.56|0.85|0.66|0.79|0.53|0.63|0.71|
|mythic-bender_lvl_1| 10 | 4.91 | 4.91 |0.79|0.50|0.86|0.57|0.49|0.46|0.65|0.72|0.66|0.66|
|mythic-professor-farnsworth_lvl_1| 11 | 4.83 | 4.83 |0.67|0.46|0.64|0.77|0.78|0.48|0.00|0.65|0.84|0.16|
|mythic-peter_lvl_1| 12 | 4.81 | 4.81 |0.69|0.48|0.65|0.66|0.81|0.61|0.60|0.54|0.77|0.62|
|meg-griffin_lvl_18| 1005 | 4.78 | 4.78 |0.63|0.54|0.43|0.67|0.60|0.61|0.78|0.69|0.64|0.76|
|steve-smith_lvl_18| 1006 | 4.75 | 4.75 |0.61|0.60|0.77|0.38|0.64|0.71|0.67|0.61|0.74|0.15|
|mythic-louise_lvl_1| 13 | 4.72 | 4.72 |0.73|0.65|0.62|0.69|0.68|0.47|0.67|0.64|0.55|0.66|
|mythic-stan_lvl_1| 14 | 4.70 | 4.70 |0.75|0.66|0.60|0.60|0.67|0.37|0.75|0.53|0.55|0.67|
|tina_lvl_18| 1007 | 4.69 | 4.69 |0.61|0.14|0.66|0.69|0.70|0.61|0.64|0.46|0.77|0.62|
|bobby_lvl_18| 1008 | 4.68 | 4.68 |0.75|0.77|0.57|0.57|0.69|0.69|0.44|0.52|0.62|0.59|
|bender_lvl_18| 1009 | 4.64 | 4.64 |0.74|0.47|0.81|0.54|0.46|0.43|0.62|0.68|0.63|0.62|
|dr-amy-wong_lvl_18| 1010 | 4.62 | 4.62 |0.54|0.76|0.71|1.00|0.11|0.59|0.00|0.51|0.09|0.51|
|peter_lvl_18| 1011 | 4.59 | 4.59 |0.66|0.45|0.62|0.63|0.77|0.58|0.57|0.52|0.74|0.59|
|mythic-boomhauer_lvl_1| 15 | 4.54 | 4.54 |0.69|0.60|0.62|0.71|0.00|0.60|0.12|0.76|0.07|0.56|
|mythic-teddy_lvl_1| 16 | 4.48 | 4.48 |0.68|0.67|0.76|0.26|0.55|0.53|0.60|0.47|0.69|0.28|
|linda-belcher_lvl_18| 1012 | 4.46 | 4.46 |0.66|0.00|0.75|0.69|0.54|0.24|0.47|0.73|0.55|0.54|
|klaus-heisler_lvl_18| 1013 | 4.42 | 4.42 |0.72|0.49|0.61|0.61|0.74|0.58|0.22|0.57|0.06|0.59|
|mythic-bullock_lvl_1| 17 | 4.23 | 4.23 |0.51|0.53|0.49|0.58|0.58|0.65|0.55|0.00|0.06|0.83|
|mythic-dale_lvl_1| 18 | 4.10 | 4.10 |0.75|0.36|0.51|0.33|0.54|0.41|0.62|0.60|0.67|0.00|
|mythic-brian_lvl_1| 19 | 4.09 | 4.09 |0.59|0.00|0.47|0.34|0.22|0.67|0.54|0.75|0.73|0.25|
|lois-griffin_lvl_18| 1014 | 4.08 | 4.08 |0.10|0.68|0.08|0.58|0.64|0.68|0.00|0.71|0.00|0.69|
|chris-griffin_lvl_18| 1015 | 4.01 | 4.01 |0.75|0.40|0.68|0.64|0.48|0.41|0.20|0.00|0.65|0.22|
|francine-smith_lvl_18| 1016 | 3.57 | 3.57 |0.77|0.32|0.39|0.34|0.00|0.64|0.52|0.00|0.59|0.22|
|hermes-conrad_lvl_18| 1017 | 1.19 | 1.19 |0.00|0.00|0.17|0.06|0.00|0.65|0.14|0.00|0.00|0.17|
|
